Chamber,Congress,Session,Start Date,End Date,Days in session,Time in session,Pages of proceedings,Extensions of remarks,Public bills enacted into law,Private bills enacted into law,Bills in conference,"Measures passed, total","Measures passed, Senate bills","Measures passed, House bills","Measures passed, Senate joint resolutions","Measures passed, House joint resolutions","Measures passed, Senate concurrent resolutions","Measures passed, House concurrent resolutions","Measures passed, Simple resolutions","Measures reported, total","Measures reported, Senate bills","Measures reported, House bills","Measures reported, Senate joint resolutions","Measures reported, House joint resolutions","Measures reported, Senate concurrent resolutions","Measures reported, House concurrent resolutions","Measures reported, Simple resolutions",Special reports,Conference reports,Measures pending on calendar,"Measures introduced, total","Measures introduced, Bills","Measures introduced, Joint resolutions","Measures introduced, Concurrent resolutions","Measures introduced, Simple resolutions",Quorum calls,Yea-and-nay votes,Recorded votes,Bills vetoed,Vetoes overridden,Bills through conference,Bills not signed
Senate,112,2,2012-01-03 00:00:00,2013-01-03 00:00:00,153,930:12,8668,,54,1,,479,86,139,3,2,15,13,221,224,172,31,1,,1,,19,8,4,391,2014,1685,18,32,279,,251,,,,,
Total,112,2,2012-01-03 00:00:00,2013-01-03 00:00:00,,,,,193,,,958,,,,,,,,559,,,,,,,,,,,5395,,,,,,,,,,,
House,113,1,2013-01-03 00:00:00,2014-01-03 00:00:00,160,767:33,8138,1913,56,,3,366,17,206,,16,15,16,96,290,4,223,,,,4,59,30,,82,4434,3810,104,72,448,1,299,341,,,,
Senate,113,1,2013-01-03 00:00:00,2014-01-03 00:00:00,156,1095:12,9124,,16,,3,356,57,57,,2,16,14,210,221,146,10,2,,1,,62,14,,204,2280,1894,29,30,327,13,291,,,,,
Total,113,1,2013-01-03 00:00:00,2014-01-03 00:00:00,,,,,72,,,722,,,,,,,,511,,,,,,,,,,,6714,,,,,,,,,,,
House,113,2,2014-01-03 00:00:00,2015-01-02 00:00:00,135,704:31,10336,1857,163,,1,565,57,375,4,7,4,25,93,377,7,306,,2,,4,58,34,3,127,2505,2089,27,53,336,1,248,315,,,,
Senate,113,2,2014-01-03 00:00:00,2015-01-02 00:00:00,136,908:15,6941,,61,,1,501,95,153,6,8,6,23,210,275,190,51,3,,1,1,29,12,3,414,1432,1126,18,14,274,1,366,,,,,
Total,113,2,2014-01-03 00:00:00,2015-01-02 00:00:00,,,,,224,,,1066,,,,,,,,652,,,,,,,,,,,3937,,,,,,,,,,,
House,114,1,2015-01-06 00:00:00,2015-12-31 00:00:00,157,804:59,10717,1847,78,,1,525,38,323,3,5,6,28,122,373,9,288,,3,,3,70,7,5,78,5060,4302,79,105,574,2,300,403,1,,,
Senate,114,1,2015-01-06 00:00:00,2015-12-31 00:00:00,168,1073:39,8913,,37,,1,441,98,82,4,3,11,24,219,289,219,36,,,1,,33,22,4,210,2823,2427,28,26,342,6,339,,4,,,
Total,114,1,2015-01-06 00:00:00,2015-12-31 00:00:00,,,,,115,,,966,,,,,,,,662,,,,,,,,,,,7883,,,,,,,,,,,
House,114,2,2016-01-04 00:00:00,2017-01-03 00:00:00,131,633:15,7641,1743,141,,2,659,75,450,1,1,7,27,98,495,10,413,,2,,5,65,27,3,144,2714,2224,29,78,383,1,275,346,3,1,,
Senate,114,2,2016-01-04 00:00:00,2017-01-03 00:00:00,165,780:58,7184,,73,,2,485,97,141,1,1,13,17,215,329,242,49,,,6,1,31,12,3,462,1466,1121,13,32,300,,163,,2,1,,
Total,114,2,2016-01-04 00:00:00,2017-01-03 00:00:00,,,,,214,,,1144,,,,,,,,824,,,,,,,,,,,4180,,,,,,,,,,,
House,115,1,2017-01-03 00:00:00,2018-01-03 00:00:00,192,858:32,10434,1769,67,,,668,30,441,6,20,9,16,146,476,2,370,,2,,4,98,6,2,114,5619,4724,124,97,674,1,354,355,,,,
Senate,115,1,2017-01-03 00:00:00,2018-01-03 00:00:00,195,1166:34,8289,,33,,,438,114,67,8,17,10,8,214,271,211,28,1,,2,,29,14,1,174,2713,2265,51,31,366,3,325,,,,,
Total,115,1,2017-01-03 00:00:00,2018-01-03 00:00:00,,,,,100,,,1106,,,,,,,,747,,,,,,,,,,,8332,,,,,,,,,,,
House,115,2,2018-01-03 00:00:00,2019-01-03 00:00:00,174,657:46,10612,1751,221,1,1,816,105,557,2,1,10,18,123,610,11,529,,,,2,68,33,5,217,3257,2670,22,52,513,2,326,172,,,,
Senate,115,2,2018-01-03 00:00:00,2019-01-03 00:00:00,191,1015:29,8065,,108,,1,641,145,224,7,1,14,15,235,385,252,114,1,,,,18,14,4,405,1967,1540,18,28,381,2,274,,,,,
Total,115,2,2018-01-03 00:00:00,2019-01-03 00:00:00,,,,,,,,1457,,,,,,,,995,,,,,,,,,,,5224,,,,,,,,,,,
House,116,1,2019-01-03 00:00:00,2020-01-03 00:00:00,193,787:53,12308,1650,75,,,632,31,426,5,8,5,15,142,352,,291,,1,,2,58,10,2,97,6467,5529,81,82,775,1,328,372,1,,,
Senate,116,1,2019-01-03 00:00:00,2020-01-03 00:00:00,187,947:46,7247,,30,,,506,106,78,24,4,14,12,268,338,251,33,1,,4,,49,24,2,278,3703,3148,62,31,462,2,428,,5,,,
Total,116,1,2019-01-03 00:00:00,2020-01-03 00:00:00,,,,,105,,,1138,,,,,,,,690,,,,,,,,,,,10170,,,,,,,,,,,
House,116,2,2020-01-03 00:00:00,2021-01-03 00:00:00,163,565:26,9184,1224,91,,1,559,91,351,4,8,5,11,89,324,3,289,,1,,2,29,32,1,145,4108,3535,29,46,498,1,218,34,2,1,,
Senate,116,2,2020-01-03 00:00:00,2021-01-03 00:00:00,192,963:52,8017,,88,,,510,155,143,5,6,6,9,186,196,160,25,,,,,11,6,1,401,2325,1938,20,21,346,5,292,,2,1,,
Total,116,2,2020-01-03 00:00:00,2021-01-03 00:00:00,,,,,,,,1069,,,,,,,,520,,,,,,,,,,,6433,,,,,,,,,,,
House,117,1,2021-01-03 00:00:00,2022-01-03 00:00:00,166,708:7,7849,1406,47,,,506,30,348,4,2,7,9,106,209,,166,,1,,,42,12,,31,7335,6343,67,66,859,1,448,,,,,
Senate,117,1,2021-01-03 00:00:00,2022-01-03 00:00:00,192,1083:11,9319,,38,,,423,94,48,5,1,8,6,261,187,133,14,1,,,,39,8,,149,3969,3429,33,24,483,4,528,,,,,
Total,117,1,2021-01-03 00:00:00,2022-01-03 00:00:00,,,,,,,,929,,,,,,,,396,,,,,,,,,,,11304,,,,,,,,,,,
House,117,2,2022-01-03 00:00:00,2023-01-03 00:00:00,164,621:48,10550,1368,146,2,1,621,130,371,,2,7,14,97,446,3,341,,,,,102,42,,202,4128,3357,39,59,673,1,532,16,,,,
Senate,117,2,2022-01-03 00:00:00,2023-01-03 00:00:00,178,958:32,10113,,101,,1,629,180,154,6,2,11,8,268,371,274,63,1,,4,,29,4,,422,2388,1929,37,28,394,,421,,,,,
Total,117,2,2022-01-03 00:00:00,2023-01-03 00:00:00,,,,,247,2,,1250,,,,,,,,817,,,,,,,,,,,6516,,,,,,,,,,,
